<<<<<<< Updated upstream

179.997653119,0,0,0
179.992860569,4,4,8
179.396153088,8,8,16
178.50541427,12,12,24
177.321019582,8,13,21
176.212696191,12,17,29
174.66165073599998,16,21,37
173.011769979,20,25,45
170.537056554,24,29,53
168.31022314999998,22,17,39
167.288846154,26,21,47
164.897285504,30,25,55
162.210317146,34,29,63
154.38667592099998,28,32,60
152.071655871,32,36,68
147.226733019,36,40,76
144.633153336,40,44,84
138.069214035,37,44,81
136.460822871,41,37,78
134.496336887,45,41,86
134.240945678,49,45,94
179.993340252,0,0,0
179.988449525,4,4,8
=======
time,red,blue,total
179.992063856,0,0,0
179.989115273,4,4,8
179.544620907,8,8,16
178.846876966,12,12,24
177.61201362,16,16,32
176.490622131,20,20,40
174.849962214,24,24,48
171.762433148,28,28,56
169.545433034,32,32,64
162.976522743,27,34,61
156.51005044,27,31,58
154.64887124,31,35,66
148.271714888,29,34,63
142.17109158399998,33,38,71
137.03596074799998,32,36,68
133.948183672,36,40,76
132.627982792,40,44,84
119.30318814600001,41,29,70
116.62656425700001,45,33,78
115.58959259800001,42,33,75
114.37059285800001,43,29,72
111.63585064100002,47,33,80
110.70027066800002,42,35,77
109.41306055400001,39,35,74
107.17932280400001,43,39,82
103.79702062300001,47,43,90
102.58894260199999,45,32,77
101.42035752199999,44,30,74
98.32319792799998,48,34,82
84.99725662799997,52,38,90
84.35526860799999,41,25,66
81.09476804599998,45,29,74
78.96059111899999,43,28,71
72.90501250700001,42,26,68
71.58930038300001,46,30,76
70.835492458,50,34,84
70.68978168000001,54,38,92
>>>>>>> Stashed changes
